Posting Date,type,Amount,Purpose,Nature,Location
19/04/2015,International Travel,140.24,APHoMSA Forum in China - speaking and attending - Accommodation in Singapore,Accommodation,Singapore
22/04/2015,International Travel,458.12,APHoMSA Forum in China - speaking and attending - Accommodation,Accommodation,China
13/02/2015,International Travel,213.28,APHoMSA Forum in China - speaking and attending -,Airfare - Shenzhen China to Singapore ,China
19/03/2015,International Travel,2077.49,APHoMSA Forum in China - speaking and attending ,Airfare - NZ return,China
02/07/2014,domestic travel,50.00,Waitangi Hearing in Tauranga -  dinner,Incidentals,Tauranga
03/07/2014,domestic travel,30.50,Waitangi Hearing in Tauranga -  dinner,Incidentals,Tauranga
03/07/2014,domestic travel,67.83,Waitangi Hearing in Tauranga - staff lunch,Incidentals,Tauranga
04/07/2014,domestic travel,29.00,Waitangi Hearing in Tauranga- Wgtn Airport Parking ,Parking,Tauranga
11/07/2014,domestic travel,554.89,MOSS Presentation in Queenstown - flight,Airfare,Queenstown
11/07/2014,domestic travel,19.57,MOSS Presentation in Queenstown- meals,Incidentals,Queenstown
11/07/2014,domestic travel,29.00,MOSS Presentation in Queenstown - Wgtn Airport Parking ,Parking,Queenstown
11/07/2014,domestic travel,29.65,MOSS Presentation in Queenstown - Taxi ,Taxi,Queenstown
01/08/2014,domestic travel,355.97,New Plymouth MNZ office opening - Flights ,Airfare,New Plymouth
01/08/2014,domestic travel,957.23,MLAANZ Conference Registration Fee - Queenstown,Conference,Queenstown
01/08/2014,domestic travel,29.00,New Plymouth MNZ office opening - airport parking,Parking,Wellington
06/08/2014,domestic travel,396.78,EDS Navigating our Future conference - speaking and attending - flights,Airfare,Auckland
06/08/2014,domestic travel,76.49,EDS Navigating our Future conference - speaking and attending - Wellington airport parking,Parking,Wellington
06/08/2014,domestic travel,24.50,EDS Navigating our Future conference - speaking and attending - Auckland parking,Parking,Auckland
06/08/2014,domestic travel,168.54,EDS Navigating our Future conference - speaking and attending - Rental Car ,Rental Car,Auckland
07/08/2014,domestic travel,28.50,EDS Navigating our Future conference - speaking and attending - Auckland parking,Parking,Auckland
08/08/2014,domestic travel,190.13,Cruise NZ Conference in Napier - Flight,Airfare,Napier
08/08/2014,domestic travel,26.50,Cruise NZ Conference in Napier - Taxi from airport,Taxi,Napier
08/08/2014,domestic travel,24.80,Cruise NZ Conference in Napier - Taxi to the airport,Taxi,Napier
15/08/2014,domestic travel,311.65,MNZ staff celebration for 30 years service & team meeting - flight,Airfare,Tauranga
15/08/2014,domestic travel,29.00,MNZ staff celebration for 30 years service & team meeting - Wellington airport parking,Parking,Wellington
15/08/2014,domestic travel,79.35,MNZ staff celebration for 30 years service & team meeting - rental car,Rental Car,Tauranga
27/08/2014,domestic travel,366.69,Port and Shipping Conference speaking and attending in Auckland - flights,Airfare,Auckland
27/08/2014,domestic travel,85.00,Port and Shipping Conference speaking and attending in Auckland - staff meals,Incidentials,Auckland
27/08/2014,domestic travel,73.91,Port & Shipping Conference in Auckland - dinner with 2 staff,Incidentials,Auckland
27/08/2014,domestic travel,48.60,Port and Shipping Conference speaking and attending in Auckland - Wellington airport parking,Parking,Wellington
27/08/2014,domestic travel,79.40,Port and Shipping Conference speaking and attending in Auckland - Taxi,Taxi,Auckland
28/08/2014,domestic travel,78.19,Port and Shipping Conference speaking and attending in Auckland - staff meals,Incidentials,Auckland
28/08/2014,domestic travel,45.00,Port and Shipping Conference speaking and attending in Auckland - Auckland parking,Parking,Auckland
02/09/2014,domestic travel,310.71,Licensed Advisers Advisers Reference Group in Auckland - flights,Airfares,Auckland
02/09/2014,domestic travel,29.00,Licensed Advisers Advisers Reference Group in Auckland - Wellington aiport parking,Parking,Wellington
02/09/2014,domestic travel,146.56,Licensed Advisers Advisers Reference Group in Auckland - rental car,Rental Car,Auckland
11/09/2014,domestic travel,130.00,MLANNZ Conference in Queenstown - accommodation,accommodation,Queenstown
11/09/2014,domestic travel,494.77,MLANNZ Conference in Queenstown - flights,Airfares,Queenstown
11/09/2014,domestic travel,324.50,"MLAANZ Conference in Queenstown - staff dinner (Legal Team attending conference, 6 people)",Incidentials,Queenstown
11/09/2014,domestic travel,40.40,MLANNZ Conference in Queenstown - Taxi,Taxi,Queenstown
12/09/2014,domestic travel,56.84,Meeting in Queenstown with Harbourmaster - breakfast meeting,Incidentials,Queenstown
12/09/2014,domestic travel,58.00,MLANNZ Conferene in Queenstown - Wellington airport parking,Parking,Queenstown
12/09/2014,domestic travel,33.00,MLANNZ Conference in Queenstown - Taxi,Taxi,Queenstown
20/09/2014,domestic travel,327.88,Coastguard Conference in Auckland - Flights,Taxi,Auckland
20/09/2014,domestic travel,65.70,Coastguard Conference in Auckland - Taxi from the airport,Taxi,Auckland
21/09/2014,domestic travel,58.00,Coastguard Conference in Auckland - Wellington airport parking,Parking,Wellington
21/09/2014,domestic travel,65.70,Port and Shipping Conference in Auckland (August) - Taxi from Auckland aiport,Taxi,Auckland
11/11/2014,domestic travel,716.43,Ship to Shore Conference in Melbourne Australia - Airfare,Airfare,Melbourne
11/11/2014,domestic travel,17.28,Ship to Shore Conferences speaking and attending in Australia - meals,Incidentials,Melbourne
11/11/2014,domestic travel,86.47,Ship to Shore Conference speaking and attending in Australia - meals,Incidentials,Melbourne
11/11/2014,domestic travel,50.20,Ship to Shore Conference speaking and attending in Australia - Taxi to Wellington airport,Taxi,Wellington
11/11/2014,domestic travel,76.47,Ship to Shore Conference speaking and attending in Australia - Taxi to the hotel in Australia,Taxi,Melbourne
13/11/2014,domestic travel,77.37,Ship to Shore Conference speaking and attending in Australia - Taxi to the airport,Taxi,Melbourne
13/11/2014,domestic travel,40.30,Ship to Shore Conference speaking and attending in Australia - Taxi from Wgtn airport to home,Taxi,Wellington
18/11/2014,domestic travel,154.86,Regional Council Workshop - Flight to Nelson,Airfare,Nelson
19/11/2014,domestic travel,32.00,Regional Council Workshop in Nelson - Wellington airport parking,Parking,Wellington
21/11/2014,domestic travel,262.65,Marine Operations Managers Forum - Flight to Nelson,Airfare,Nelson
21/11/2014,domestic travel,22.95,Marine Operations Managers Forum in Nelson - Wellington airport parking,Parking,Wellington
21/11/2014,domestic travel,27.80,Marine Operations Managers Forum in Nelson - taxi,Taxi,Nelson
28/11/2014,domestic travel,384.61,National Pleasure Boat Safety Forum in Auckland - flights,Airfares,Auckland
28/11/2014,domestic travel,49.00,National Pleasure Boat Safety Forum in Auckland - Wellington airport parking,Parking,Wellington
28/11/2014,domestic travel,29.00,National Pleasure Boat Safety Forum in Auckland - Wellington airport parking,Parking,Wellington
28/11/2014,domestic travel,87.50,National Pleasure Boat Safety Forum in Auckland - Taxi from the airport,Taxi,Auckland
10/12/2014,domestic travel,407.43,Meeting at Maritime School in Auckland - flights,Airfares ,Auckland
10/12/2014,domestic travel,14.50,Meeting at Maritime School in Auckland - parking,Parking,Auckland
10/12/2014,domestic travel,72.60,Meetings at Maritime School in Auckland- Rental Car,Rental Car,Auckland
11/12/2014,domestic travel,24.45,Meeting at Maritime School in Auckland - parking,Parking,Auckland
18/12/2014,domestic travel,406.36,TAIC Rena Inquiry Final Report meeting in Tauranga - Airfare,Airfare,Tauranga
18/12/2014,domestic travel,32.50,TAIC Rena Inquiry Final Report meeting in Tauranga - Meals,Incidentials,Tauranga
18/12/2014,domestic travel,29.00,TAIC Rena Inquiry Final Report meeting in Tauranga - Wellington airport parking,Parking,Wellington
19/03/2015,domestic travel,416.11,Meetings at MNZ regional offices - Auckland - flights,Airfares,Auckland
19/03/2015,domestic travel,31.00,Meetings at MNZ regional offices - Auckland - Wellington airport parking,Parking,Wellington
19/03/2015,domestic travel,141.73,Meetings at MNZ regional offices - Auckland - Rental Car,Rental Car,Auckland
19/03/2015,domestic travel,7.00,Rental Car expenses (petrol),Rental Car,Auckland
20/03/2015,domestic travel,49.70,Meetings at MNZ regional offices - Rangiora office - staff lunch,Incidentials,Rangiora
20/03/2015,domestic travel,31.00,Meetings at MNZ regional offices - Auckland - Wellington airport parking,Parking,Auckland
09/04/2015,domestic travel,37.00,Meetings at MNZ regional offices - Tauranga - staff meals,Incidentials,Tauranga
09/04/2015,domestic travel,35.00,Meetings at MNZ regional offices - Tauranga office - taxi,Taxi,Tauranga
10/04/2015,domestic travel,35.00,Meetings at MNZ regional offices - Nelson office - taxi,Taxi,Nelson
19/04/2015,domestic travel,64.70,APHoMSA Forum in China - speaking and attending - Taxi to International Airport,Taxi,Auckland
02/05/2015,domestic travel,796.66,MLAANZ Conference in Taupo - Registration fee and Accommodation,Accommodation,Taupo
02/05/2015,domestic travel,105.12,MLAANZ Conference - Petrol,Incidentials,Taupo
05/05/2015,domestic travel,548.88,Meetings in Dunedin office- flights,Airfares,Dunedin
05/05/2015,domestic travel,71.50,Meetings in Dunedin office - accommodation and meals,Incidentials,Dunedin
05/05/2015,domestic travel,57.00,Meetings in Dunedin office- Wellington airport parking,Parking,Wellington
06/05/2015,domestic travel,64.70,Meetings in Dunedin - meal,Incidentials,Dunedin
12/05/2015,domestic travel,31.00,Port CEO Group meetings - Wellington airport parking,Parking,Wellington
12/05/2015,domestic travel,67.30,Port CEO Group meetings - Taxi in Auckland,Taxi,Auckland
12/05/2015,domestic travel,67.30,Port CEO Group meetings - Taxi to the airport,Taxi,Auckland
